exp,method,benchmark,seed,final_regret,n_iters,distinct_regret,incumbent_improved,final_cost,lf_fraction,path
ackley_confirm_check,Ackley_5D,Ackley_5D,42,4.440892098500626e-16,10,1,,,,results/ackley_confirm_check/checkpoints/Ackley_5D__DRO-Original__seed42.json
ackley_confirm_check3,Ackley_5D,Ackley_5D,45,0.7624673123058057,10,7,,,,results/ackley_confirm_check3/checkpoints/Ackley_5D__DRO-Original__seed45.json
diag_dt_action_collapse,Hartmann_6D,Hartmann_6D,44,,,,1,,,results/diag_dt_action_collapse/checkpoints/Hartmann_6D__seed44.json
diag_dt_action_collapse_postfix,Hartmann_6D,Hartmann_6D,44,,,,0,,,results/diag_dt_action_collapse_postfix/checkpoints/Hartmann_6D__seed44.json
diag_fantasy_vs_real,Ackley_10D,Ackley_10D,42,,,,,,,results/diag_fantasy_vs_real/checkpoints/Ackley_10D__seed42.json
diag_fantasy_vs_real,Ackley_10D,Ackley_10D,43,,,,,,,results/diag_fantasy_vs_real/checkpoints/Ackley_10D__seed43.json
diag_fantasy_vs_real,Ackley_10D,Ackley_10D,44,,,,,,,results/diag_fantasy_vs_real/checkpoints/Ackley_10D__seed44.json
diag_fantasy_vs_real,Hartmann_6D,Hartmann_6D,42,,,,,,,results/diag_fantasy_vs_real/checkpoints/Hartmann_6D__seed42.json
diag_fantasy_vs_real,Hartmann_6D,Hartmann_6D,43,,,,,,,results/diag_fantasy_vs_real/checkpoints/Hartmann_6D__seed43.json
diag_fantasy_vs_real,Hartmann_6D,Hartmann_6D,44,,,,,,,results/diag_fantasy_vs_real/checkpoints/Hartmann_6D__seed44.json
diag_fix1_smoketest,Currin_2D,Currin_2D,42,0.014149443194343192,5,3,,43.0,0.0,results/diag_fix1_smoketest/checkpoints/Currin_2D__MF-DRO__seed42.mf.json
diag_fix2_crosscheck,Currin_2D,Currin_2D,42,0.14608933119483147,5,3,,43.0,0.0,results/diag_fix2_crosscheck/checkpoints/Currin_2D__MF-DRO__seed42.mf.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,42,4.440892098500626e-16,30,1,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-EntropyJoint-L4__seed42.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,43,0.25448223338211706,30,16,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-EntropyJoint-L4__seed43.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,44,0.14536735382883892,30,11,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-EntropyJoint-L4__seed44.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,42,4.440892098500626e-16,30,1,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-EntropyJoint__seed42.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,43,0.26918106969224853,30,16,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-EntropyJoint__seed43.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,44,0.3038607196373424,30,17,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-EntropyJoint__seed44.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,42,4.440892098500626e-16,30,1,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-MES-jointMES__seed42.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,43,0.21325934258229795,30,17,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-MES-jointMES__seed43.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,44,0.27191371251015584,30,15,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-MES-jointMES__seed44.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,42,4.440892098500626e-16,30,1,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-PerStep__seed42.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,43,0.12160315983611314,30,11,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-PerStep__seed43.json
entropy_joint_ackley5d,Ackley_5D,Ackley_5D,44,0.21104548079742402,30,22,,,,results/entropy_joint_ackley5d/checkpoints/Ackley_5D__DRO-PerStep__seed44.json
entropy_joint_validation,Currin_2D,Currin_2D,42,2.1875758483280308,50,2,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-EntropyJoint__seed42.json
entropy_joint_validation,Currin_2D,Currin_2D,43,0.02752039445575427,50,4,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-EntropyJoint__seed43.json
entropy_joint_validation,Currin_2D,Currin_2D,44,1.704470901903699,50,2,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-EntropyJoint__seed44.json
entropy_joint_validation,Currin_2D,Currin_2D,45,0.0012316527741091932,50,4,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-EntropyJoint__seed45.json
entropy_joint_validation,Currin_2D,Currin_2D,46,0.154364912632321,50,1,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-EntropyJoint__seed46.json
entropy_joint_validation,Currin_2D,Currin_2D,42,1.2591139716178557,50,3,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed42.json
entropy_joint_validation,Currin_2D,Currin_2D,43,2.3081320414454147,50,3,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed43.json
entropy_joint_validation,Currin_2D,Currin_2D,44,0.006947717795130259,50,7,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed44.json
entropy_joint_validation,Currin_2D,Currin_2D,45,0.006357071960826133,50,2,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed45.json
entropy_joint_validation,Currin_2D,Currin_2D,46,0.0003275360196610677,50,1,,,,results/entropy_joint_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed46.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,42,2.9094605596636285,50,1,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-EntropyJoint__seed42.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,43,2.1002780320818415,50,2,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-EntropyJoint__seed43.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,44,2.377186423978743,50,1,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-EntropyJoint__seed44.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,45,2.6577964655466433,50,1,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-EntropyJoint__seed45.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,46,2.817780254785329,50,2,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-EntropyJoint__seed46.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,42,2.7984393695676615,50,2,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-PerStep__seed42.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,43,2.127063094736726,50,1,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-PerStep__seed43.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,44,2.377186423978743,50,1,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-PerStep__seed44.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,45,2.6577964655466433,50,1,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-PerStep__seed45.json
entropy_joint_validation,Hartmann_6D,Hartmann_6D,46,2.6429543505247053,50,3,,,,results/entropy_joint_validation/checkpoints/Hartmann_6D__DRO-MES-PerStep__seed46.json
failure_mode1_sfdro,MULTI,Hartmann_6D,42,0.056527777678005986,50,11,,,,results/failure_mode1_sfdro/checkpoints/MULTI__Hartmann_6D__seed42.json
failure_mode1_sfdro,MULTI,Hartmann_6D,43,0.49367630947093266,50,13,,,,results/failure_mode1_sfdro/checkpoints/MULTI__Hartmann_6D__seed43.json
failure_mode1_sfdro,MULTI,Hartmann_6D,44,0.05830065489368508,50,9,,,,results/failure_mode1_sfdro/checkpoints/MULTI__Hartmann_6D__seed44.json
failure_mode1_sfdro,NODT,Hartmann_6D,42,0.023485470322988533,50,6,,,,results/failure_mode1_sfdro/checkpoints/NODT__Hartmann_6D__seed42.json
failure_mode1_sfdro,NODT,Hartmann_6D,43,0.031106618132611175,50,6,,,,results/failure_mode1_sfdro/checkpoints/NODT__Hartmann_6D__seed43.json
failure_mode1_sfdro,NODT,Hartmann_6D,44,0.046492738892184526,50,15,,,,results/failure_mode1_sfdro/checkpoints/NODT__Hartmann_6D__seed44.json
failure_mode1_sfdro,UNI,Hartmann_6D,42,0.1006565039973557,50,10,,,,results/failure_mode1_sfdro/checkpoints/UNI__Hartmann_6D__seed42.json
failure_mode1_sfdro,UNI,Hartmann_6D,43,0.0784635996761831,50,6,,,,results/failure_mode1_sfdro/checkpoints/UNI__Hartmann_6D__seed43.json
failure_mode1_sfdro,UNI,Hartmann_6D,44,0.325003204900129,50,4,,,,results/failure_mode1_sfdro/checkpoints/UNI__Hartmann_6D__seed44.json
hartmann_diag,Hartmann_6D,Hartmann_6D,42,2.3750442062587576,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-Baseline__seed42.json
hartmann_diag,Hartmann_6D,Hartmann_6D,43,2.127063094736726,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-Baseline__seed43.json
hartmann_diag,Hartmann_6D,Hartmann_6D,44,2.377186423978743,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-Baseline__seed44.json
hartmann_diag,Hartmann_6D,Hartmann_6D,42,2.3750442062587576,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-MES-EI__seed42.json
hartmann_diag,Hartmann_6D,Hartmann_6D,43,2.127063094736726,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-MES-EI__seed43.json
hartmann_diag,Hartmann_6D,Hartmann_6D,44,2.377186423978743,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-MES-EI__seed44.json
hartmann_diag,Hartmann_6D,Hartmann_6D,42,1.1753504092396772,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-Noise005__seed42.json
hartmann_diag,Hartmann_6D,Hartmann_6D,43,2.1086781494983446,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-Noise005__seed43.json
hartmann_diag,Hartmann_6D,Hartmann_6D,44,2.386269093812536,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-Noise005__seed44.json
hartmann_diag,Hartmann_6D,Hartmann_6D,42,2.4928294815609133,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-RotateAcq__seed42.json
hartmann_diag,Hartmann_6D,Hartmann_6D,43,2.127063094736726,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-RotateAcq__seed43.json
hartmann_diag,Hartmann_6D,Hartmann_6D,44,2.377186423978743,20,1,,,,results/hartmann_diag/checkpoints/Hartmann_6D__DRO-RotateAcq__seed44.json
joint_rtg_validation,Currin_2D,Currin_2D,42,2.4772187503998016,30,2,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-Joint-P90__seed42.json
joint_rtg_validation,Currin_2D,Currin_2D,43,7.148069071760688e-05,30,3,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-Joint-P90__seed43.json
joint_rtg_validation,Currin_2D,Currin_2D,44,2.1629217559095135,30,1,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-Joint-P90__seed44.json
joint_rtg_validation,Currin_2D,Currin_2D,42,2.4833249309140477,30,1,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-Joint__seed42.json
joint_rtg_validation,Currin_2D,Currin_2D,43,0.013929163209244422,30,2,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-Joint__seed43.json
joint_rtg_validation,Currin_2D,Currin_2D,44,2.1629217559095135,30,1,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-Joint__seed44.json
joint_rtg_validation,Currin_2D,Currin_2D,42,0.004799710380607891,30,14,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed42.json
joint_rtg_validation,Currin_2D,Currin_2D,43,0.11510573303155347,30,3,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed43.json
joint_rtg_validation,Currin_2D,Currin_2D,44,0.47924589876704005,30,4,,,,results/joint_rtg_validation/checkpoints/Currin_2D__DRO-MES-PerStep__seed44.json
