         1019788547 function calls (955452027 primitive calls) in 1469.368 seconds

   Ordered by: cumulative time
   List reduced from 1264 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 1469.368 1469.368 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/experiments/h90-borehole-confirm/code/worker.py:58(run)
        1    0.015    0.015 1469.342 1469.342 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:3423(run)
       36    0.080    0.002 1412.974   39.249 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:2469(_generate_rollout_batch)
     2160    1.826    0.001 1412.674    0.654 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:896(simulate_mf_trajectory)
   362164    3.133    0.000  750.418    0.002 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/botorch/models/gpytorch.py:340(posterior)
   394564    5.304    0.000  651.657    0.002 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/models/exact_gp.py:251(__call__)
    51948    0.545    0.000  602.633    0.012 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/gumbel_thompson.py:16(thompson_sample_y_star)
   362164    3.954    0.000  599.900    0.002 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/models/exact_prediction_strategies.py:259(exact_prediction)
    17280    0.930    0.000  555.069    0.032 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:844(compute_joint_mf_mes)
1392276/910088    1.804    0.000  434.850    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/module.py:30(__call__)
3182356/2491080    3.216    0.000  433.864    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/utils/memoize.py:54(g)
   133560    0.786    0.000  415.586    0.003 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/botorch/posteriors/gpytorch.py:145(rsample)
   133560    1.377    0.000  413.630    0.003 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/distributions/multivariate_normal.py:198(rsample)
    51948    1.002    0.000  412.950    0.008 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:466(rsample)
   133560    1.579    0.000  411.463    0.003 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/operators/_linear_operator.py:2577(zero_mean_mvn_samples)
1141716/779552    1.480    0.000  409.343    0.001 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/lazy/lazy_evaluated_kernel_tensor.py:22(wrapped)
   417388    1.553    0.000  395.346    0.001 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/lazy/lazy_evaluated_kernel_tensor.py:342(evaluate_kernel)
   834776    2.090    0.000  393.838    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/kernels/kernel.py:453(__call__)
   362164    0.349    0.000  392.993    0.001 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/lazy/lazy_evaluated_kernel_tensor.py:408(to_dense)
